visitor_id;date;no_of_order
m8Uc5yRaSdEPzGIetuxQdHYRKJM=;01/11/2019;1
mcUPsqvIuFxtW60WE92HJnUReDw=;01/11/2019;2
MdvIRm9ocjIOsG2/2zeWxwDaDdI=;01/11/2019;2
mEcmgtrHzyO7iJqLeaTVQKutRko=;01/11/2019;2
MfIVlN/4+6VNX77eBifoYMjo0qo=;01/11/2019;1
mgDtOXhi5qDSiIvl0apB1N7YOGg=;01/11/2019;3
mjQuHhlRRUowoaChXbMf/bnhjTQ=;01/11/2019;1
mL4qvCFh1kPirJgoay6U6U0T17Y=;01/11/2019;1
MOa+O0NliKSkQAubxJxKBnb5zGI=;01/11/2019;1
mp8z0wNh7U8rZ3IDqhV7U9xhL6Y=;01/11/2019;1
MrHrU4D2FoxVi8bIMJNeWyIDd6c=;01/11/2019;1
MRYN8WP3StraUwCQ64WGk8Ct4rI=;01/11/2019;1
MS36D4J+qmMhmrBWsr4yhVh3Bxk=;01/11/2019;5
mT0Mh6PdR8MVTfp1XezE+Ujd1GA=;01/11/2019;1
mtWwFKVKhC8PxWmcGmWvos1tvq4=;01/11/2019;1
MUiOfRJy+O4ymhfjtsuGK2FSiy0=;01/11/2019;4
MZctaoSMfAavPgYXH02FCpdCyuM=;01/11/2019;1
N6YNE/Z7hlEerz0+1kkW0CK6I/k=;01/11/2019;1
n9Sppb+r8nBG9PRAYs39nMPRDVM=;01/11/2019;1
nApTt0h8aZ1rEQMrc2+ULRPjobo=;01/11/2019;2
Nc+5urM14jHu00seLIeRw6rS8WE=;01/11/2019;1
NdKQ2ZYnw5hHbrkme+Y0BcfvnII=;01/11/2019;1
NfqvEcPNC58c/aJTy0KGh+nVU9k=;01/11/2019;1
nGybWo0PiGZ4doHJ53WOPSKmDLg=;01/11/2019;1
NhVmDF34BhfAcKDbwsKJgbaI2uw=;01/11/2019;1
nIJNvZMlgh71a1rUApq5HQ76ODU=;01/11/2019;1
nL8ZFYBb4UDrVKZLRaISNo8bbUA=;01/11/2019;1
NRCjrkfgwV9mrIFjPPd9oP1ve7c=;01/11/2019;1
nRyxdVdf9nYFvMg5Srir2LZLBRY=;01/11/2019;1
O+NobAH5tmvyzM/+H4z2190cDyw=;01/11/2019;3
o6Lnan6hLK5CW98/55AzJBTTTKM=;01/11/2019;1
o7zFI2giNrtXx/bsbhyZ/n8Ih3A=;01/11/2019;1
O91Lcyd+DR5unmuwOUMfNosDoJA=;01/11/2019;5
Oc4B/WtzWzOgrdakojQKK128TKc=;01/11/2019;1
oIVYBHTQ8JLHbmnGEXPIJ6WFgYo=;01/11/2019;1
oKuWmZ4Q+WXAB1jgegNE5Wqahfc=;01/11/2019;1
OlVtG17E5ClXYEAj+lyl9ndUagQ=;01/11/2019;4
ON+I0JOjvxvqIQ/I5dEwop4FBsQ=;01/11/2019;1
oTtCrbmQCoelM5SLSzQ8q81RNA4=;01/11/2019;2
OwyLqLN9xqnSQKYKoEuNJ7AqM6c=;01/11/2019;1
oyBz8nDm/HEgo1fpgo7mmYEHLCI=;01/11/2019;1
P1e1bcOZchFJJyn9mokYTOZlO/s=;01/11/2019;4
P5OqSqKS4GlUQ8KDLlIxnx/3huA=;01/11/2019;1
p7bp7BulQvenNNCt6BzMkuIfaRA=;01/11/2019;1
PDEMCmDfoJQJet/52yX19/A458Q=;01/11/2019;1
pFsdbGPii0g/G7Pqliy1+JI3mg8=;01/11/2019;1
pGoeNzJ2kzdB8EnwITEWPXrR4rw=;01/11/2019;1
PItpxAT4Dyyj6/qCSIS7ElNyCWc=;01/11/2019;1
pJz7Vb0MuYrU2kk0NoEA7LmZ2Uo=;01/11/2019;1
POXWVwG7h7Vqv0g0539ZbRWnsvo=;01/11/2019;10
ppOWee0JnPWuOIghV0GE6vcDEXU=;01/11/2019;2
PvggRq0AgeKIX7uKuInPZWzCEaI=;01/11/2019;1
q6ZJ1yCxUyBtNORVfj95SyHIXSQ=;01/11/2019;2
qaEO2+wtYL/CpSmHz26jwDVX4rw=;01/11/2019;1
qAMHEczPodRPnmUmDvZi3Nyk6iQ=;01/11/2019;1
Qeb9rBHimGCH6kqN4ILy5f+MukA=;01/11/2019;1
QExkAWEOhW8PEBlsSFtI4KV9X8I=;01/11/2019;1
QfAFktrbHmi+IDhtszUDEbi4Xs4=;01/11/2019;2
qhHdVgDUCmKQloM0NYLveVYWA/Y=;01/11/2019;3
qItvOUf3JozkNotgIX8Nuawl1bg=;01/11/2019;2
QLXQhI0U5RrG9n/+HgA8Juk1/lE=;01/11/2019;17
qND0exJRLVDGvwuufF9Ott1BufM=;01/11/2019;1
QppcsbjGFOhpDvDBkdtl0cEIKx4=;01/11/2019;1
QvRCCVlmQAMsDVsaV5EBXTSt7rw=;01/11/2019;1
QWjl4Uadyb8fsZbNqibd43y6eQA=;01/11/2019;1
QYAI2G259p8x4PpIi0+y2IzRolU=;01/11/2019;1
qYN2al+uHyOaS9xgaoTDf28xF5U=;01/11/2019;1
r+V6b5BUcdIozGdUpsUVX97ouG8=;01/11/2019;2
R3QMQX1wKWIY/xLHAZm5Hsjq66Y=;01/11/2019;1
r4toZ1UIB0BD9KFFFKC8TdsYwa4=;01/11/2019;1
R6Fp2M2CCbRZZdGIhIjnYo1gP5E=;01/11/2019;1
r7Z/4bK2DE3kLA3SioLZXrSvTPg=;01/11/2019;2
ra0AwjldnzppjAndJ7WDpp0xWow=;01/11/2019;1
rASEBeABxuyfyVty644oKxVjmLo=;01/11/2019;1
rGN0VOugXw/O8PgP/FWYB3IQ6Is=;01/11/2019;1
RLUs+nKLOywVMnq1vYvtFE2NqAs=;01/11/2019;1
rndTTfL9LergS741SXcyws+hAEo=;01/11/2019;1
RRxzWTEPzOC8RmJ+Avi5NXRGofA=;01/11/2019;1
RVWb5EyTpOmpS8rd5O5cN4Km+do=;01/11/2019;1
rxuaHa1jCtXUBnzdNHM6YNRkXkY=;01/11/2019;1
rXyE4KJhxeVaDTy/Rt+R/JHBenA=;01/11/2019;2
Rygmv7YUcOa/xINCa9zLc/Ovh6s=;01/11/2019;1
sDK/xkwvja7cuYyKYzyGyCSxTE4=;01/11/2019;1
slKFZJZVZ/6m7QlLqTWxhQ/NYVI=;01/11/2019;1
SLNS28rLf2P+O/1hCPQOdJxewBk=;01/11/2019;1
SMQMkRjnKWWcsi7KoB7qbEIPr7Q=;01/11/2019;1
Sx9u642b3sWdtHfKWm8TuXw3J98=;01/11/2019;1
SZBfehmNK2DXZ/RouxYss9vRYy4=;01/11/2019;1
t3lOE+QCHSTtVKOPnMXP6me+0+A=;01/11/2019;1
t5uuYqmbEqZauVMUp/6KuBAYhNA=;01/11/2019;1
tamGhu78+wTl7wP5UzUXa/LZ/pk=;01/11/2019;1
TbOzqPrDVH40TZVS17cXVfKhbfA=;01/11/2019;1
te9RZ7H93hWZWH8aFL80F5dWfRQ=;01/11/2019;1
tg9lLdKOam6lp6uKzWhiM8e+wt0=;01/11/2019;1
TIzKqUWZZ/Xw32wZLiqjiP1iB6Q=;01/11/2019;1
TKfm2Xfj5UcOwah0O9JNedIYKUQ=;01/11/2019;57
tujII7tXzkQox1IJHcqD3qUHvuA=;01/11/2019;1
Typr8GwkAFg1jI0Jk8oInhMCiM8=;01/11/2019;2
U4cX4FlwxCrJhd1HH0ELwoQU91U=;01/11/2019;4
u6nILgwJmBjWU29+HCMdYHRh3bc=;01/11/2019;1
ub3PgkO9n8/IifcWgHTiRm0xXIQ=;01/11/2019;1
ufQVkAi8VfMnRnfXSj1KhBR/i5U=;01/11/2019;1
ui5rMtpTM/fLo162+jQuXpbNrkg=;01/11/2019;1
Uj2t0U2LHv93nYE90n5A332P96c=;01/11/2019;1
UMv+6+lWTwUogJc02053VlN+Vqc=;01/11/2019;1
uN4gNvU6MijWjlsbQ1Wkx9xRBVI=;01/11/2019;3
UQcF1rNU94yaZXGYrfN78EE/L1M=;01/11/2019;1
UQioZBtFj5TXxGpew8US91m3wtI=;01/11/2019;4
Ur3GV4xOOfjjBm4ZNwhUPsaar8U=;01/11/2019;2
uSaTXDQ5dfhvJlTu5f7lVMtihaY=;01/11/2019;1
UwZQSt+7cON8Tk/QP4e74djn/Qk=;01/11/2019;1
UZYuj92OlcvJUrxFTEdPWXTUAmw=;01/11/2019;2
V0F/86dV0Fgnw+z0QdntULwfuv0=;01/11/2019;1
V1PGzdjvXNTiWTRW5IFww6kjszw=;01/11/2019;1
v1T1Qb/WcXxal89NmI/SnjFJEiA=;01/11/2019;1
v7JkRPXGm6jJuz8sXt3+fy4pna4=;01/11/2019;3
V9Vbvo/i2tqZyjVJtqe/Tcwo0ac=;01/11/2019;1
VA7OnUsxXduKnP3VatRaS6njm1I=;01/11/2019;1
VDZY6z/EVMEa1FBHHqEhAsY9Ylo=;01/11/2019;1
Vem7L6S4ls5NguQIn64iTEnjtQU=;01/11/2019;1
Vfq4+A4tlC/Gv1l18rT3MoOYAYk=;01/11/2019;1
VFZ13kIeRa/AiQFNY7u8KzvOy6Y=;01/11/2019;1
vheRGiOYo6LuVL9xEsqCWokvSz8=;01/11/2019;3
VhfIoC7nT4S3ryNbAtRqKocP/9k=;01/11/2019;1
VI1/vXLUkkGix8rK8QQWvn2xEzo=;01/11/2019;1
vkzhEctEAydtuAsaegSJpFiAodE=;01/11/2019;1
vOERninUjIjJyAX8t/ZhPfgjJTY=;01/11/2019;1
vq+p+hG1Ccai4pVQSfiiRfZyHL8=;01/11/2019;1
vWltKXvjgz29CJ3jBslXEENfY5M=;01/11/2019;1
VxvM1u/YJHtw8VmyWH6a+Rh4+rg=;01/11/2019;1
w4P30sr0oJkEEIlpkDIOKph9hZY=;01/11/2019;1
WCvpp3b35ebpNRPY/lGIbauanVU=;01/11/2019;1
WELNVhg7Og4WQQojOuJ/wZ0rGxg=;01/11/2019;1
wppTHG2xcJbBeLRXsk3wYOduSZ4=;01/11/2019;4
WrraqgEvQcFX9nf0EBsa8nftmYw=;01/11/2019;2
wVaxV3T+r/uKIuW8fj4ZgafCjrQ=;01/11/2019;1
WZTAHbVr3Q0oNJbX+7cH9XuY7Nk=;01/11/2019;4
X3HCTGHdDq5kPrLzgGlVPgsWu/4=;01/11/2019;1
x7Z2EC0kyZ4gkSGEQb3AicN9oc4=;01/11/2019;1
Xck6xum/6+7ge0KgFIpO9Qp0Ayw=;01/11/2019;1
XebcMOhEBpfktQ4Wi7ASgpbiz90=;01/11/2019;2
